exp_id,phase,name,date,change_summary,baseline_ref,local_ndcg5,kaggle_ndcg5,delta_local_vs_v4,delta_kaggle_vs_v4,kept,notes
V4_ENSEMBLE,P0,V4_ensemble_baseline,2026-05-14,8-model rank-averaged ensemble (lambdarank_base/click3/bal15/book50/noipw/randup + rank_xendcg + booking_clf),NONE,0.42512,0.42021,0.0,0.0,YES,Frozen baseline. All future experiments compare against this row.
V4_BEST_SINGLE,P0,V4_best_single_baseline,2026-05-14,Best individual model inside V4 ensemble (lambdarank_bal15 per user note),V4_ENSEMBLE,0.42191,,,-0.00321,YES,Single-model anchor for Phase 2-8 sweeps. No standalone Kaggle submission.
P2_INVALID_lg_0_1_10,P2_INVALID,phase2_labelgain/lg_0_1_10,2026-05-15T21:34:07.792450+00:00,"label_gain=0,1,10 — TAINTED by Dataset pre-construct bug",V4_BEST_SINGLE,0.4209563454376836,,-0.0041636545623163,,NO,INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
P2_INVALID_lg_0_1_12,P2_INVALID,phase2_labelgain/lg_0_1_12,2026-05-15T21:34:07.792450+00:00,"label_gain=0,1,12 — TAINTED by Dataset pre-construct bug",V4_BEST_SINGLE,0.4215364391724303,,-0.0035835608275697,,NO,INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
P2_INVALID_lg_0_1_15,P2_INVALID,phase2_labelgain/lg_0_1_15,2026-05-15T21:34:07.792450+00:00,"label_gain=0,1,15 — TAINTED by Dataset pre-construct bug",V4_BEST_SINGLE,0.4195119559166295,,-0.0056080440833705,,NO,INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
P2_INVALID_lg_0_1_18,P2_INVALID,phase2_labelgain/lg_0_1_18,2026-05-15T21:34:07.792450+00:00,"label_gain=0,1,18 — TAINTED by Dataset pre-construct bug",V4_BEST_SINGLE,0.4196045694286106,,-0.0055154305713894,,NO,INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
P2_INVALID_lg_0_1_20,P2_INVALID,phase2_labelgain/lg_0_1_20,2026-05-15T21:34:07.792450+00:00,"label_gain=0,1,20 — TAINTED by Dataset pre-construct bug",V4_BEST_SINGLE,0.4212957538376499,,-0.0038242461623501,,NO,INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
P2_INVALID_lg_0_2_15,P2_INVALID,phase2_labelgain/lg_0_2_15,2026-05-15T21:34:07.792450+00:00,"label_gain=0,2,15 — TAINTED by Dataset pre-construct bug",V4_BEST_SINGLE,0.4206317744965391,,-0.0044882255034608,,NO,INVALID: lgb.Dataset pre-constructed with ds.construct() outside the loop → binning used default data_random_seed=1 instead of seed=456. Anchor check (run_id=phase2_anchor_check) confirmed: V4-style pattern reproduces 0.42191 exactly. Do not use these numbers for label_gain selection.
P2_ANCHOR_CHECK,P2,phase2_anchor_check/anchor_lg_0_1_15,2026-05-15T21:34:07.792450+00:00,"V4-style Dataset pattern verification (label_gain=0,1,15)",V4_BEST_SINGLE,0.4219149237443544,,-0.0032050762556455,,ANCHOR,Confirms V4 bal15 reproduces exactly with the V4 Dataset pattern. Δ vs anchor = 0.00000.
V4.2_SUBMIT,P2_submit,v4.2_submit/lg_0_2_15,2026-05-15T22:49:24.869630+00:00,"V4 single-model on full data; label_gain=0,2,15 (Phase 2 winner); retrained 470 rounds; seed=456; IPW default.",V4_ENSEMBLE,0.4225849286075321,0.41639,-0.0025350713924678,-0.0038199999999999,NO,"Kaggle public = 0.41639 (V4 ensemble Kaggle = 0.42021, Δ = -0.00382). Val NDCG@5 = 0.42258 (+0.00067 vs V4 bal15 anchor), but Kaggle is -0.00382 below V4 ensemble. Local-to-Kaggle gap = -0.00619: single model overfit on val and loses ensemble diversity benefit. Action: keep V4 ensemble as production reference; do not submit single-model variants. Artifacts: artifacts/v4.2_submit/."
